,First Name,Last Name,Season AB / N,N_H,MLE,MAP
758,Brian,Schneider,369,99,0.2682926829268293,0.258148631029987
759,Jared,Schumaker,24,6,0.25,0.24881516587677724
760,Luke,Scott,80,15,0.1875,0.2384937238493724
761,Marcos,Scutaro,381,94,0.24671916010498687,0.24775353016688062
762,Scott,Seabol,105,23,0.21904761904761905,0.24254473161033796
763,Aaron,Sele,3,0,0.0,0.24688279301745636
764,Todd,Self,45,9,0.2,0.24379232505643342
765,Jae,Seo,29,3,0.10344827586206896,0.2388758782201405
766,Richie,Sexson,558,147,0.26344086021505375,0.25732217573221755
767,Adam,Shabala,15,3,0.2,0.2469733656174334
768,Brian,Shackelford,1,0,0.0,0.24812030075187969
769,Ryan,Shealy,91,30,0.32967032967032966,0.26380368098159507
770,Ben,Sheets,45,1,0.022222222222222223,0.22573363431151242
771,Gary,Sheffield,584,170,0.2910958904109589,0.2739307535641548
772,Christopher,Shelton,388,116,0.29896907216494845,0.27353689567430023
773,Scot,Shields,1,0,0.0,0.24812030075187969
774,Kelly,Shoppach,15,0,0.0,0.2397094430992736
775,Rick,Short,15,6,0.4,0.2542372881355932
776,Ruben,Sierra,170,39,0.22941176470588234,0.24295774647887325
777,Carlos,Silva,2,0,0.0,0.2475
778,Chris,Singleton,59,16,0.2711864406779661,0.25164113785557984
779,Andrew,Sisco,1,0,0.0,0.24812030075187969
780,Grady,Sizemore,640,185,0.2890625,0.27360308285163776
781,Terrmel,Sledge,37,9,0.24324324324324326,0.2482758620689655
782,Jason,Smith,58,11,0.1896551724137931,0.2412280701754386
783,John,Smoltz,68,10,0.14705882352941177,0.23390557939914164
784,Ian,Snell,8,0,0.0,0.2438423645320197
785,Chris,Snelling,29,8,0.27586206896551724,0.2505854800936768
786,Jack,Snow,367,101,0.27520435967302453,0.26143790849673204
787,Christopher,Snyder,326,66,0.20245398773006135,0.22790055248618785
788,Zach,Sorensen,12,2,0.16666666666666666,0.24634146341463414
789,Alfonso,Soriano,637,171,0.2684458398744113,0.2608695652173913
790,Jorge,Sosa,31,3,0.0967741935483871,0.23776223776223776
791,Sammy,Sosa,380,84,0.22105263157894736,0.2352185089974293
792,Geovany,Soto,1,0,0.0,0.24812030075187969
793,Ryan,Speier,2,0,0.0,0.2475
794,Scott,Spiezio,47,3,0.06382978723404255,0.2292134831460674
795,Ryan,Spilborghs,4,2,0.5,0.2512437810945274
796,Junior,Spivey,259,60,0.23166023166023167,0.2420091324200913
797,Matt,Stairs,396,109,0.27525252525252525,0.2619647355163728
798,Mike,Stanton,1,0,0.0,0.24812030075187969
799,Timothy,Stauffer,24,3,0.125,0.24170616113744076
800,Adam,Stern,15,2,0.13333333333333333,0.24455205811138014
801,Shannon,Stewart,551,151,0.27404718693284935,0.26343519494204426
802,Kelly,Stinnett,129,32,0.24806201550387597,0.24857685009487665
803,Ricky,Stone,2,0,0.0,0.2475
804,Jamal,Strong,20,5,0.25,0.24880382775119617
805,Cory,Sullivan,378,111,0.29365079365079366,0.2706185567010309
806,Jeff,Suppan,58,12,0.20689655172413793,0.24342105263157895
807,William,Surhoff,303,78,0.25742574257425743,0.2524964336661912
808,Ichiro,Suzuki,679,206,0.30338733431516934,0.28319405756731664
809,Mark,Sweeney,221,65,0.29411764705882354,0.2649434571890145
810,Mike,Sweeney,470,141,0.3,0.2764976958525346
811,Nicholas,Swisher,462,109,0.23593073593073594,0.24186046511627907
812,So,Taguchi,396,114,0.2878787878787879,0.2682619647355164
813,Willy,Taveras,592,172,0.2905405405405405,0.2737373737373737
814,Reggie,Taylor,22,4,0.18181818181818182,0.24523809523809523
815,Mark,Teahen,447,110,0.24608501118568232,0.24733727810650888
816,Mark,Teixeira,644,194,0.30124223602484473,0.28119001919385794
817,Miguel,Tejada,654,199,0.30428134556574926,0.2832699619771863
818,Robinson,Tejeda,20,2,0.1,0.24162679425837322
819,Luis,Terrero,161,37,0.22981366459627328,0.24329159212880144
820,Marcus,Thames,107,21,0.19626168224299065,0.2376237623762376
821,Ryan,Theriot,13,2,0.15384615384615385,0.24574209245742093
822,Charles,Thomas,46,5,0.10869565217391304,0.23423423423423423
823,Frank,Thomas,105,23,0.21904761904761905,0.24254473161033796
824,Jim,Thome,193,40,0.20725388601036268,0.23519458544839256
825,Bradley,Thompson,6,1,0.16666666666666666,0.24752475247524752
826,Derek,Thompson,4,0,0.0,0.2462686567164179
827,John,Thomson,25,5,0.2,0.2458628841607565
828,Terry,Tiffee,150,31,0.20666666666666667,0.23722627737226276
829,Brett,Tomko,55,9,0.16363636363636364,0.23841059602649006
830,Tony,Torcato,11,3,0.2727272727272727,0.24938875305623473
831,Yorvit,Torrealba,201,47,0.23383084577114427,0.24373956594323873
832,Andres,Torres,19,3,0.15789473684210525,0.2446043165467626
833,Salomon,Torres,4,2,0.5,0.2512437810945274
834,Josh,Towers,6,0,0.0,0.24504950495049505
835,Steve,Trachsel,15,1,0.06666666666666667,0.24213075060532688
836,Chad,Tracy,503,155,0.3081510934393638,0.28190899001109876
837,Matt,Treanor,134,27,0.20149253731343283,0.23684210526315788
838,Michael,Tucker,268,64,0.23880597014925373,0.24474474474474475
839,Jason,Tyner,56,18,0.32142857142857145,0.2577092511013216
840,Juan,Uribe,481,121,0.2515592515592516,0.2502844141069397
841,Chase,Utley,543,158,0.29097605893186,0.2731137088204038
842,Ismael,Valdez,13,2,0.15384615384615385,0.24574209245742093
843,Wilson,Valdez,139,28,0.2014388489208633,0.23649906890130354
844,Eric,Valent,43,8,0.18604651162790697,0.24263038548752835
845,Javier,Valentin,221,62,0.28054298642533937,0.26009693053311794
846,Jose,Valentin,147,25,0.17006802721088435,0.22752293577981653
847,Claudio,Vargas,36,4,0.1111111111111111,0.23732718894009217
848,Jason,Vargas,26,8,0.3076923076923077,0.25235849056603776
849,Jason,Varitek,470,132,0.28085106382978725,0.2661290322580645
850,Luis,Vasquez,1,0,0.0,0.24812030075187969
851,Javier,Vazquez,63,15,0.23809523809523808,0.2472885032537961
852,Ramon,Vazquez,85,18,0.21176470588235294,0.2422360248447205
853,Michael,Vento,2,0,0.0,0.2475
854,Shane,Victorino,17,5,0.29411764705882354,0.25060240963855424
855,Jose,Vidro,309,85,0.2750809061488673,0.26025459688826025
